Sentence_ID,Token,BIO_Tag
1,"depression,",B-MENTAL_HEALTH
1,"depression,",B-MENTAL_HEALTH
1,"depression,",B-MENTAL_HEALTH
2,these,B-SOCIAL_SUPPORT
2,were,I-SOCIAL_SUPPORT
2,discussed,I-SOCIAL_SUPPORT
2,with,I-SOCIAL_SUPPORT
2,the,I-SOCIAL_SUPPORT
2,patient,I-SOCIAL_SUPPORT
2,and,I-SOCIAL_SUPPORT
2,her,I-SOCIAL_SUPPORT
2,family,I-SOCIAL_SUPPORT
3,family,B-SOCIAL_SUPPORT
3,history,I-SOCIAL_SUPPORT
4,she,B-ALCOHOL_USE
4,has,I-ALCOHOL_USE
4,no,I-ALCOHOL_USE
4,history,I-ALCOHOL_USE
4,of,I-ALCOHOL_USE
4,drinking.,I-ALCOHOL_USE
5,quit,B-SMOKING
5,smoking,I-SMOKING
5,in,I-SMOKING
5,,I-SMOKING
5,date,I-SMOKING
5,,I-SMOKING
5,has,I-SMOKING
5,,I-SMOKING
5,date,I-SMOKING
5,,I-SMOKING
5,children.,I-SMOKING
6,family,B-SOCIAL_SUPPORT
6,history,I-SOCIAL_SUPPORT
7,she,B-ALCOHOL_USE
7,has,I-ALCOHOL_USE
7,no,I-ALCOHOL_USE
7,history,I-ALCOHOL_USE
7,of,I-ALCOHOL_USE
7,drinking.,I-ALCOHOL_USE
8,quit,B-SMOKING
8,smoking,I-SMOKING
8,in,I-SMOKING
8,,I-SMOKING
8,date,I-SMOKING
8,,I-SMOKING
8,has,I-SMOKING
8,,I-SMOKING
8,date,I-SMOKING
8,,I-SMOKING
8,children.,I-SMOKING
9,"depression,",B-MENTAL_HEALTH
9,"depression,",B-MENTAL_HEALTH
9,"depression,",B-MENTAL_HEALTH
9,"depression,",B-MENTAL_HEALTH
9,"depression,",B-MENTAL_HEALTH
10,family,B-SOCIAL_SUPPORT
11,history,B-SMOKING
11,of,I-SMOKING
11,tobacco,I-SMOKING
11,use,I-SMOKING
11,stroke,I-SMOKING
11,appendectomy,I-SMOKING
11,in,I-SMOKING
12,personal,B-SMOKING
12,history,I-SMOKING
12,of,I-SMOKING
12,tobacco,I-SMOKING
12,use,I-SMOKING
12,splenomegaly,I-SMOKING
12,stroke,I-SMOKING
12,vitamin,I-SMOKING
12,d,I-SMOKING
12,deficiency,I-SMOKING
12,appendectomy,I-SMOKING
12,in,I-SMOKING
12,,I-SMOKING
12,date,I-SMOKING
12,,I-SMOKING
13,personal,B-SMOKING
13,history,I-SMOKING
13,of,I-SMOKING
13,tobacco,I-SMOKING
13,use,I-SMOKING
13,splenomegaly,I-SMOKING
13,stroke,I-SMOKING
13,vitamin,I-SMOKING
13,d,I-SMOKING
13,deficiency,I-SMOKING
13,appendectomy,I-SMOKING
13,in,I-SMOKING
13,personal,B-SMOKING
13,history,I-SMOKING
13,of,I-SMOKING
13,tobacco,I-SMOKING
13,use,I-SMOKING
13,splenomegaly,I-SMOKING
13,stroke,I-SMOKING
13,vitamin,I-SMOKING
13,d,I-SMOKING
13,deficiency,I-SMOKING
13,appendectomy,I-SMOKING
13,in,I-SMOKING
13,personal,B-SMOKING
13,history,I-SMOKING
13,of,I-SMOKING
13,tobacco,I-SMOKING
13,use,I-SMOKING
13,splenomegaly,I-SMOKING
13,stroke,I-SMOKING
13,vitamin,I-SMOKING
13,d,I-SMOKING
13,deficiency,I-SMOKING
13,appendectomy,I-SMOKING
13,in,I-SMOKING
13,personal,B-SMOKING
13,history,I-SMOKING
13,of,I-SMOKING
13,tobacco,I-SMOKING
13,use,I-SMOKING
13,splenomegaly,I-SMOKING
13,stroke,I-SMOKING
13,vitamin,I-SMOKING
13,d,I-SMOKING
13,deficiency,I-SMOKING
13,appendectomy,I-SMOKING
13,in,I-SMOKING
14,history,B-SMOKING
14,of,I-SMOKING
14,tobacco,I-SMOKING
14,"use,",I-SMOKING
14,"splenomegaly,",I-SMOKING
15,,B-SMOKING
15,"cigarettes,",I-SMOKING
15,no,I-SMOKING
16,",",B-SMOKING
16,stopped,I-SMOKING
16,smoking,I-SMOKING
16,,I-SMOKING
16,date,I-SMOKING
16,",",I-SMOKING
16,and,I-SMOKING
17,,B-SOCIAL_SUPPORT
17,supportive,I-SOCIAL_SUPPORT
17,family,I-SOCIAL_SUPPORT
18,drink,B-ALCOHOL_USE
18,alcohol,I-ALCOHOL_USE
19,easily,B-ALCOHOL_USE
19,a,I-ALCOHOL_USE
19,six,I-ALCOHOL_USE
19,pack,I-ALCOHOL_USE
19,or,I-ALCOHOL_USE
19,better,I-ALCOHOL_USE
19,a,I-ALCOHOL_USE
19,day,I-ALCOHOL_USE
19,on,I-ALCOHOL_USE
19,weekends,I-ALCOHOL_USE
19,and,I-ALCOHOL_USE
19,five,I-ALCOHOL_USE
19,to,I-ALCOHOL_USE
19,six,I-ALCOHOL_USE
19,shots,I-ALCOHOL_USE
19,of,I-ALCOHOL_USE
19,alcohol,I-ALCOHOL_USE
20,family,B-SOCIAL_SUPPORT
20,history,I-SOCIAL_SUPPORT
21,"depression,",B-MENTAL_HEALTH
22,,B-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,significant,I-SOCIAL_SUPPORT
22,other,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,family,I-SOCIAL_SUPPORT
22,member,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,primary,I-SOCIAL_SUPPORT
22,care,I-SOCIAL_SUPPORT
22,physician,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,physician,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,consulting,I-SOCIAL_SUPPORT
22,or,I-SOCIAL_SUPPORT
22,referring,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,pharmacy,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,other,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
23,n,B-SOCIAL_SUPPORT
23,,I-SOCIAL_SUPPORT
23,y,I-SOCIAL_SUPPORT
23,recommendations,I-SOCIAL_SUPPORT
23,,I-SOCIAL_SUPPORT
23,patient,I-SOCIAL_SUPPORT
23,and,I-SOCIAL_SUPPORT
23,family,I-SOCIAL_SUPPORT
23,verbalize,I-SOCIAL_SUPPORT
23,understanding?,I-SOCIAL_SUPPORT
24,n,B-SOCIAL_SUPPORT
24,,I-SOCIAL_SUPPORT
24,y,I-SOCIAL_SUPPORT
24,does,I-SOCIAL_SUPPORT
24,patient,I-SOCIAL_SUPPORT
24,and,I-SOCIAL_SUPPORT
24,family,I-SOCIAL_SUPPORT
24,agree,I-SOCIAL_SUPPORT
24,with,I-SOCIAL_SUPPORT
24,plan?,I-SOCIAL_SUPPORT
25,patient,B-SOCIAL_SUPPORT
25,and,I-SOCIAL_SUPPORT
25,family,I-SOCIAL_SUPPORT
25,instructed,I-SOCIAL_SUPPORT
25,to,I-SOCIAL_SUPPORT
26,personal,B-SMOKING
26,history,I-SMOKING
26,of,I-SMOKING
26,tobacco,I-SMOKING
26,use,I-SMOKING
26,splenomegaly,I-SMOKING
26,stroke,I-SMOKING
26,vitamin,I-SMOKING
26,d,I-SMOKING
26,deficiency,I-SMOKING
26,appendectomy,I-SMOKING
26,in,I-SMOKING
26,,I-SMOKING
26,date,I-SMOKING
27,personal,B-SMOKING
27,history,I-SMOKING
27,of,I-SMOKING
27,tobacco,I-SMOKING
27,use,I-SMOKING
27,splenomegaly,I-SMOKING
27,stroke,I-SMOKING
27,vitamin,I-SMOKING
27,d,I-SMOKING
27,deficiency,I-SMOKING
27,appendectomy,I-SMOKING
27,in,I-SMOKING
27,,I-SMOKING
27,date,I-SMOKING
27,,I-SMOKING
28,,B-SMOKING
28,"cigarettes,",I-SMOKING
28,no,I-SMOKING
29,drug,B-SMOKING
29,"use,",I-SMOKING
29,stopped,I-SMOKING
29,smoking,I-SMOKING
29,,I-SMOKING
29,date,I-SMOKING
29,",",I-SMOKING
29,and,I-SMOKING
30,,B-SOCIAL_SUPPORT
30,supportive,I-SOCIAL_SUPPORT
30,family,I-SOCIAL_SUPPORT
31,drink,B-ALCOHOL_USE
31,alcohol,I-ALCOHOL_USE
32,easily,B-ALCOHOL_USE
32,a,I-ALCOHOL_USE
32,six,I-ALCOHOL_USE
32,pack,I-ALCOHOL_USE
32,or,I-ALCOHOL_USE
32,better,I-ALCOHOL_USE
32,a,I-ALCOHOL_USE
32,day,I-ALCOHOL_USE
32,on,I-ALCOHOL_USE
32,weekends,I-ALCOHOL_USE
32,and,I-ALCOHOL_USE
32,five,I-ALCOHOL_USE
32,to,I-ALCOHOL_USE
32,six,I-ALCOHOL_USE
32,shots,I-ALCOHOL_USE
32,of,I-ALCOHOL_USE
32,alcohol,I-ALCOHOL_USE
33,"depression,",B-MENTAL_HEALTH
34,counseled,B-SMOKING
34,extensively,I-SMOKING
34,for,I-SMOKING
34,smoking,I-SMOKING
34,cessation,I-SMOKING
34,adrenal,I-SMOKING
35,adenoma,B-ALCOHOL_USE
35,alcohol,I-ALCOHOL_USE
35,abuse,I-ALCOHOL_USE
36,,B-SMOKING
36,"cigarettes,",I-SMOKING
36,no,I-SMOKING
37,drug,B-SMOKING
37,"use,",I-SMOKING
37,stopped,I-SMOKING
37,smoking,I-SMOKING
37,,I-SMOKING
37,date,I-SMOKING
37,",",I-SMOKING
37,and,I-SMOKING
38,,B-SOCIAL_SUPPORT
38,supportive,I-SOCIAL_SUPPORT
38,family,I-SOCIAL_SUPPORT
39,drink,B-ALCOHOL_USE
39,alcohol,I-ALCOHOL_USE
40,easily,B-ALCOHOL_USE
40,a,I-ALCOHOL_USE
40,six,I-ALCOHOL_USE
40,pack,I-ALCOHOL_USE
40,or,I-ALCOHOL_USE
40,better,I-ALCOHOL_USE
40,a,I-ALCOHOL_USE
40,day,I-ALCOHOL_USE
40,on,I-ALCOHOL_USE
40,weekends,I-ALCOHOL_USE
40,and,I-ALCOHOL_USE
40,five,I-ALCOHOL_USE
40,to,I-ALCOHOL_USE
40,six,I-ALCOHOL_USE
40,shots,I-ALCOHOL_USE
40,of,I-ALCOHOL_USE
40,alcohol,I-ALCOHOL_USE
41,"depression,",B-MENTAL_HEALTH
42,alcohol,B-ALCOHOL_USE
42,abuse,I-ALCOHOL_USE
43,,B-SMOKING
43,"cigarettes,",I-SMOKING
43,no,I-SMOKING
44,drug,B-SMOKING
44,"use,",I-SMOKING
44,stopped,I-SMOKING
44,smoking,I-SMOKING
44,,I-SMOKING
44,date,I-SMOKING
44,",",I-SMOKING
44,and,I-SMOKING
45,,B-SOCIAL_SUPPORT
45,supportive,I-SOCIAL_SUPPORT
45,family,I-SOCIAL_SUPPORT
46,drink,B-ALCOHOL_USE
46,alcohol,I-ALCOHOL_USE
47,easily,B-ALCOHOL_USE
47,a,I-ALCOHOL_USE
47,six,I-ALCOHOL_USE
47,pack,I-ALCOHOL_USE
47,or,I-ALCOHOL_USE
47,better,I-ALCOHOL_USE
47,a,I-ALCOHOL_USE
47,day,I-ALCOHOL_USE
47,on,I-ALCOHOL_USE
47,weekends,I-ALCOHOL_USE
47,and,I-ALCOHOL_USE
47,five,I-ALCOHOL_USE
47,to,I-ALCOHOL_USE
47,six,I-ALCOHOL_USE
47,shots,I-ALCOHOL_USE
47,of,I-ALCOHOL_USE
47,alcohol,I-ALCOHOL_USE
48,"depression,",B-MENTAL_HEALTH
49,,B-SMOKING
49,"cigarettes,",I-SMOKING
49,no,I-SMOKING
50,drug,B-SMOKING
50,"use,",I-SMOKING
50,stopped,I-SMOKING
50,smoking,I-SMOKING
50,,I-SMOKING
50,date,I-SMOKING
50,",",I-SMOKING
50,and,I-SMOKING
51,,B-SOCIAL_SUPPORT
51,supportive,I-SOCIAL_SUPPORT
51,family,I-SOCIAL_SUPPORT
52,drink,B-ALCOHOL_USE
52,alcohol,I-ALCOHOL_USE
53,easily,B-ALCOHOL_USE
53,a,I-ALCOHOL_USE
53,six,I-ALCOHOL_USE
53,pack,I-ALCOHOL_USE
53,or,I-ALCOHOL_USE
53,better,I-ALCOHOL_USE
53,a,I-ALCOHOL_USE
53,day,I-ALCOHOL_USE
53,on,I-ALCOHOL_USE
53,weekends,I-ALCOHOL_USE
53,and,I-ALCOHOL_USE
53,five,I-ALCOHOL_USE
53,to,I-ALCOHOL_USE
53,six,I-ALCOHOL_USE
53,shots,I-ALCOHOL_USE
53,of,I-ALCOHOL_USE
53,alcohol,I-ALCOHOL_USE
54,"depression,",B-MENTAL_HEALTH
55,,B-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,significant,I-SOCIAL_SUPPORT
55,other,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,family,I-SOCIAL_SUPPORT
55,member,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,primary,I-SOCIAL_SUPPORT
55,care,I-SOCIAL_SUPPORT
55,physician,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,physician,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,consulting,I-SOCIAL_SUPPORT
55,or,I-SOCIAL_SUPPORT
55,referring,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,pharmacy,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
55,other,I-SOCIAL_SUPPORT
55,,I-SOCIAL_SUPPORT
56,n,B-SOCIAL_SUPPORT
56,,I-SOCIAL_SUPPORT
56,y,I-SOCIAL_SUPPORT
56,recommendations,I-SOCIAL_SUPPORT
56,,I-SOCIAL_SUPPORT
56,patient,I-SOCIAL_SUPPORT
56,and,I-SOCIAL_SUPPORT
56,family,I-SOCIAL_SUPPORT
56,verbalize,I-SOCIAL_SUPPORT
56,understanding?,I-SOCIAL_SUPPORT
57,n,B-SOCIAL_SUPPORT
57,,I-SOCIAL_SUPPORT
57,y,I-SOCIAL_SUPPORT
57,does,I-SOCIAL_SUPPORT
57,patient,I-SOCIAL_SUPPORT
57,and,I-SOCIAL_SUPPORT
57,family,I-SOCIAL_SUPPORT
57,agree,I-SOCIAL_SUPPORT
57,with,I-SOCIAL_SUPPORT
57,plan?,I-SOCIAL_SUPPORT
58,patient,B-SOCIAL_SUPPORT
58,and,I-SOCIAL_SUPPORT
58,family,I-SOCIAL_SUPPORT
58,instructed,I-SOCIAL_SUPPORT
58,to,I-SOCIAL_SUPPORT
59,,B-SMOKING
59,"cigarettes,",I-SMOKING
59,no,I-SMOKING
60,drug,B-SMOKING
60,"use,",I-SMOKING
60,stopped,I-SMOKING
60,smoking,I-SMOKING
60,,I-SMOKING
60,date,I-SMOKING
60,",",I-SMOKING
60,and,I-SMOKING
61,,B-SOCIAL_SUPPORT
61,supportive,I-SOCIAL_SUPPORT
61,family,I-SOCIAL_SUPPORT
62,drink,B-ALCOHOL_USE
62,alcohol,I-ALCOHOL_USE
63,easily,B-ALCOHOL_USE
63,a,I-ALCOHOL_USE
63,six,I-ALCOHOL_USE
63,pack,I-ALCOHOL_USE
63,or,I-ALCOHOL_USE
63,better,I-ALCOHOL_USE
63,a,I-ALCOHOL_USE
63,day,I-ALCOHOL_USE
63,on,I-ALCOHOL_USE
63,weekends,I-ALCOHOL_USE
63,and,I-ALCOHOL_USE
63,five,I-ALCOHOL_USE
63,to,I-ALCOHOL_USE
63,six,I-ALCOHOL_USE
63,shots,I-ALCOHOL_USE
63,of,I-ALCOHOL_USE
63,alcohol,I-ALCOHOL_USE
64,quit,B-SMOKING
64,smoking,I-SMOKING
64,3,I-SMOKING
64,weeks,I-SMOKING
64,ago,I-SMOKING
65,"depression,",B-MENTAL_HEALTH
66,nutrition,B-FOOD_SECURITY
66,assessment,I-FOOD_SECURITY
67,history,B-SMOKING
67,of,I-SMOKING
67,tobacco,I-SMOKING
67,use,I-SMOKING
67,splenomegaly,I-SMOKING
67,stroke,I-SMOKING
67,vitamin,I-SMOKING
67,d,I-SMOKING
68,,B-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,family,I-SOCIAL_SUPPORT
68,member,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,primary,I-SOCIAL_SUPPORT
68,care,I-SOCIAL_SUPPORT
68,physician,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,physician,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,consulting,I-SOCIAL_SUPPORT
68,or,I-SOCIAL_SUPPORT
68,referring,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,pharmacy,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
68,other,I-SOCIAL_SUPPORT
68,,I-SOCIAL_SUPPORT
69,n,B-SOCIAL_SUPPORT
69,,I-SOCIAL_SUPPORT
69,recommendations,I-SOCIAL_SUPPORT
69,,I-SOCIAL_SUPPORT
69,patient,I-SOCIAL_SUPPORT
69,and,I-SOCIAL_SUPPORT
69,family,I-SOCIAL_SUPPORT
69,verbalize,I-SOCIAL_SUPPORT
69,understanding?,I-SOCIAL_SUPPORT
70,n,B-SOCIAL_SUPPORT
70,,I-SOCIAL_SUPPORT
70,y,I-SOCIAL_SUPPORT
70,does,I-SOCIAL_SUPPORT
70,patient,I-SOCIAL_SUPPORT
70,and,I-SOCIAL_SUPPORT
70,family,I-SOCIAL_SUPPORT
70,agree,I-SOCIAL_SUPPORT
70,with,I-SOCIAL_SUPPORT
70,plan?,I-SOCIAL_SUPPORT
71,patient,B-SOCIAL_SUPPORT
71,and,I-SOCIAL_SUPPORT
71,family,I-SOCIAL_SUPPORT
71,instructed,I-SOCIAL_SUPPORT
71,to,I-SOCIAL_SUPPORT
72,,B-SOCIAL_SUPPORT
72,,I-SOCIAL_SUPPORT
72,lab,I-SOCIAL_SUPPORT
72,or,I-SOCIAL_SUPPORT
72,other,I-SOCIAL_SUPPORT
72,test,I-SOCIAL_SUPPORT
72,results,I-SOCIAL_SUPPORT
72,given,I-SOCIAL_SUPPORT
72,to,I-SOCIAL_SUPPORT
72,patient,I-SOCIAL_SUPPORT
72,or,I-SOCIAL_SUPPORT
72,family,I-SOCIAL_SUPPORT
72,member,I-SOCIAL_SUPPORT
72,,I-SOCIAL_SUPPORT
72,,I-SOCIAL_SUPPORT
72,patient,I-SOCIAL_SUPPORT
72,or,I-SOCIAL_SUPPORT
72,family,I-SOCIAL_SUPPORT
72,member,I-SOCIAL_SUPPORT
72,assisted,I-SOCIAL_SUPPORT
72,with,I-SOCIAL_SUPPORT
72,scheduling,I-SOCIAL_SUPPORT
72,change,I-SOCIAL_SUPPORT
72,,I-SOCIAL_SUPPORT
72,,I-SOCIAL_SUPPORT
73,,B-SMOKING
73,"cigarettes,",I-SMOKING
73,no,I-SMOKING
74,drug,B-SMOKING
74,"use,",I-SMOKING
74,stopped,I-SMOKING
74,smoking,I-SMOKING
74,,I-SMOKING
74,date,I-SMOKING
74,",",I-SMOKING
74,and,I-SMOKING
75,,B-SOCIAL_SUPPORT
75,supportive,I-SOCIAL_SUPPORT
75,family,I-SOCIAL_SUPPORT
76,drink,B-ALCOHOL_USE
76,alcohol,I-ALCOHOL_USE
77,easily,B-ALCOHOL_USE
77,a,I-ALCOHOL_USE
77,six,I-ALCOHOL_USE
77,pack,I-ALCOHOL_USE
77,or,I-ALCOHOL_USE
77,better,I-ALCOHOL_USE
77,a,I-ALCOHOL_USE
77,day,I-ALCOHOL_USE
77,on,I-ALCOHOL_USE
77,weekends,I-ALCOHOL_USE
77,and,I-ALCOHOL_USE
77,five,I-ALCOHOL_USE
77,to,I-ALCOHOL_USE
77,six,I-ALCOHOL_USE
77,shots,I-ALCOHOL_USE
77,of,I-ALCOHOL_USE
77,alcohol,I-ALCOHOL_USE
78,quit,B-SMOKING
78,smoking,I-SMOKING
78,3,I-SMOKING
78,weeks,I-SMOKING
78,ago,I-SMOKING
79,"depression,",B-MENTAL_HEALTH
80,,B-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,family,I-SOCIAL_SUPPORT
80,member,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,primary,I-SOCIAL_SUPPORT
80,care,I-SOCIAL_SUPPORT
80,physician,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,physician,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,consulting,I-SOCIAL_SUPPORT
80,or,I-SOCIAL_SUPPORT
80,referring,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,pharmacy,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
80,other,I-SOCIAL_SUPPORT
80,,I-SOCIAL_SUPPORT
81,n,B-SOCIAL_SUPPORT
81,,I-SOCIAL_SUPPORT
81,recommendations,I-SOCIAL_SUPPORT
81,,I-SOCIAL_SUPPORT
81,patient,I-SOCIAL_SUPPORT
81,and,I-SOCIAL_SUPPORT
81,family,I-SOCIAL_SUPPORT
81,verbalize,I-SOCIAL_SUPPORT
81,understanding?,I-SOCIAL_SUPPORT
82,n,B-SOCIAL_SUPPORT
82,,I-SOCIAL_SUPPORT
82,y,I-SOCIAL_SUPPORT
82,does,I-SOCIAL_SUPPORT
82,patient,I-SOCIAL_SUPPORT
82,and,I-SOCIAL_SUPPORT
82,family,I-SOCIAL_SUPPORT
82,agree,I-SOCIAL_SUPPORT
82,with,I-SOCIAL_SUPPORT
82,plan?,I-SOCIAL_SUPPORT
83,patient,B-SOCIAL_SUPPORT
83,and,I-SOCIAL_SUPPORT
83,family,I-SOCIAL_SUPPORT
83,instructed,I-SOCIAL_SUPPORT
83,to,I-SOCIAL_SUPPORT
84,test,B-SOCIAL_SUPPORT
84,results,I-SOCIAL_SUPPORT
84,given,I-SOCIAL_SUPPORT
84,to,I-SOCIAL_SUPPORT
84,patient,I-SOCIAL_SUPPORT
84,or,I-SOCIAL_SUPPORT
84,family,I-SOCIAL_SUPPORT
84,member,I-SOCIAL_SUPPORT
84,,I-SOCIAL_SUPPORT
84,,I-SOCIAL_SUPPORT
84,patient,I-SOCIAL_SUPPORT
84,or,I-SOCIAL_SUPPORT
84,family,I-SOCIAL_SUPPORT
84,member,I-SOCIAL_SUPPORT
84,assisted,I-SOCIAL_SUPPORT
84,with,I-SOCIAL_SUPPORT
85,,B-SMOKING
85,"cigarettes,",I-SMOKING
85,no,I-SMOKING
86,drug,B-SMOKING
86,"use,",I-SMOKING
86,stopped,I-SMOKING
86,smoking,I-SMOKING
86,,I-SMOKING
86,date,I-SMOKING
86,",",I-SMOKING
86,and,I-SMOKING
87,,B-SOCIAL_SUPPORT
87,supportive,I-SOCIAL_SUPPORT
87,family,I-SOCIAL_SUPPORT
88,drink,B-ALCOHOL_USE
88,alcohol,I-ALCOHOL_USE
89,easily,B-ALCOHOL_USE
89,a,I-ALCOHOL_USE
89,six,I-ALCOHOL_USE
89,pack,I-ALCOHOL_USE
89,or,I-ALCOHOL_USE
89,better,I-ALCOHOL_USE
89,a,I-ALCOHOL_USE
89,day,I-ALCOHOL_USE
89,on,I-ALCOHOL_USE
89,weekends,I-ALCOHOL_USE
89,and,I-ALCOHOL_USE
89,five,I-ALCOHOL_USE
89,to,I-ALCOHOL_USE
89,six,I-ALCOHOL_USE
89,shots,I-ALCOHOL_USE
89,of,I-ALCOHOL_USE
89,alcohol,I-ALCOHOL_USE
90,"depression,",B-MENTAL_HEALTH
91,,B-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,significant,I-SOCIAL_SUPPORT
91,other,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,family,I-SOCIAL_SUPPORT
91,member,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,primary,I-SOCIAL_SUPPORT
91,care,I-SOCIAL_SUPPORT
91,physician,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,physician,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,consulting,I-SOCIAL_SUPPORT
91,or,I-SOCIAL_SUPPORT
91,referring,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,pharmacy,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
91,other,I-SOCIAL_SUPPORT
91,,I-SOCIAL_SUPPORT
92,she,B-SOCIAL_SUPPORT
92,reported,I-SOCIAL_SUPPORT
92,that,I-SOCIAL_SUPPORT
92,she,I-SOCIAL_SUPPORT
92,tried,I-SOCIAL_SUPPORT
92,a,I-SOCIAL_SUPPORT
92,benadryl,I-SOCIAL_SUPPORT
92,since,I-SOCIAL_SUPPORT
92,her,I-SOCIAL_SUPPORT
92,family,I-SOCIAL_SUPPORT
92,member,I-SOCIAL_SUPPORT
92,thought,I-SOCIAL_SUPPORT
92,it,I-SOCIAL_SUPPORT
92,was,I-SOCIAL_SUPPORT
92,sinus,I-SOCIAL_SUPPORT
92,related,I-SOCIAL_SUPPORT
92,since,I-SOCIAL_SUPPORT
92,she,I-SOCIAL_SUPPORT
92,was,I-SOCIAL_SUPPORT
93,n,B-SOCIAL_SUPPORT
93,,I-SOCIAL_SUPPORT
93,y,I-SOCIAL_SUPPORT
93,recommendations,I-SOCIAL_SUPPORT
93,,I-SOCIAL_SUPPORT
93,patient,I-SOCIAL_SUPPORT
93,and,I-SOCIAL_SUPPORT
93,family,I-SOCIAL_SUPPORT
93,verbalize,I-SOCIAL_SUPPORT
93,understanding?,I-SOCIAL_SUPPORT
94,n,B-SOCIAL_SUPPORT
94,,I-SOCIAL_SUPPORT
94,y,I-SOCIAL_SUPPORT
94,does,I-SOCIAL_SUPPORT
94,patient,I-SOCIAL_SUPPORT
94,and,I-SOCIAL_SUPPORT
94,family,I-SOCIAL_SUPPORT
94,agree,I-SOCIAL_SUPPORT
94,with,I-SOCIAL_SUPPORT
94,plan?,I-SOCIAL_SUPPORT
95,patient,B-SOCIAL_SUPPORT
95,and,I-SOCIAL_SUPPORT
95,family,I-SOCIAL_SUPPORT
95,instructed,I-SOCIAL_SUPPORT
95,to,I-SOCIAL_SUPPORT
96,,B-SOCIAL_SUPPORT
96,,I-SOCIAL_SUPPORT
